"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Измайловская";"Арбатско-Покровская линия";"2021";"I квартал";"1369579";"1376937";"1138976110";
"Профсоюзная";"Калужско-Рижская линия";"2021";"I квартал";"2315446";"2357592";"1138976111";
"Ховрино";"Замоскворецкая линия";"2021";"I квартал";"2905932";"2705635";"1138976115";
"Калужская";"Калужско-Рижская линия";"2021";"I квартал";"2023750";"2083644";"1138976116";
"Сокол";"Замоскворецкая линия";"2021";"I квартал";"2542811";"2578121";"1138976124";
"Ясенево";"Калужско-Рижская линия";"2021";"I квартал";"1972756";"1940222";"1138976126";
"Динамо";"Замоскворецкая линия";"2021";"I квартал";"2020297";"2079478";"1138976127";
"Маяковская";"Замоскворецкая линия";"2021";"I квартал";"2489724";"2571541";"1138976130";
"Новокузнецкая";"Замоскворецкая линия";"2021";"I квартал";"2109249";"2219337";"1138976132";
"Багратионовская";"Филёвская линия";"2021";"I квартал";"1101914";"1109346";"1138976138";
"Фили";"Филёвская линия";"2021";"I квартал";"1342538";"1348485";"1138976141";
"Кантемировская";"Замоскворецкая линия";"2021";"I квартал";"3131961";"3092603";"1138976142";
"Орехово";"Замоскворецкая линия";"2021";"I квартал";"1398352";"1345932";"1138976145";
"Домодедовская";"Замоскворецкая линия";"2021";"I квартал";"4450182";"4159656";"1138976147";
"Алма-Атинская";"Замоскворецкая линия";"2021";"I квартал";"988704";"962339";"1138976150";
"Черкизовская";"Сокольническая линия";"2021";"I квартал";"1020585";"1054918";"1138976154";
"Планерная";"Таганско-Краснопресненская линия";"2021";"I квартал";"3130327";"3024869";"1138976160";
"Красные ворота";"Сокольническая линия";"2021";"I квартал";"1650218";"1708029";"1138976162";
"Сходненская";"Таганско-Краснопресненская линия";"2021";"I квартал";"3586902";"3542710";"1138976163";
"Чистые пруды";"Сокольническая линия";"2021";"I квартал";"1408538";"1447537";"1138976164";
"Тушинская";"Таганско-Краснопресненская линия";"2021";"I квартал";"3556789";"3448372";"1138976165";
"Лубянка";"Сокольническая линия";"2021";"I квартал";"1865427";"1890479";"1138976166";
"Охотный ряд";"Сокольническая линия";"2021";"I квартал";"3420698";"3387393";"1138976168";
"Кропоткинская";"Сокольническая линия";"2021";"I квартал";"1742530";"1816394";"1138976169";
"Щукинская";"Таганско-Краснопресненская линия";"2021";"I квартал";"2930683";"2948659";"1138976170";
"Октябрьское поле";"Таганско-Краснопресненская линия";"2021";"I квартал";"3116446";"3175094";"1138976172";
"Фрунзенская";"Сокольническая линия";"2021";"I квартал";"1901807";"1998937";"1138976173";
"Беговая";"Таганско-Краснопресненская линия";"2021";"I квартал";"3039004";"3066974";"1138976177";
"Юго-Западная";"Сокольническая линия";"2021";"I квартал";"3423128";"3418276";"1138976181";
"Баррикадная";"Таганско-Краснопресненская линия";"2021";"I квартал";"1434183";"1498532";"1138976182";
"Румянцево";"Сокольническая линия";"2021";"I квартал";"740197";"742271";"1138976184";
"Саларьево";"Сокольническая линия";"2021";"I квартал";"2757179";"2458870";"1138976186";
"Ольховая";"Сокольническая линия";"2021";"I квартал";"549001";"527416";"1138976191";
"Волгоградский проспект";"Таганско-Краснопресненская линия";"2021";"I квартал";"1482448";"1526620";"1138976195";
"Краснопресненская";"Кольцевая линия";"2021";"I квартал";"1334663";"1380805";"1138976196";
"Рязанский проспект";"Таганско-Краснопресненская линия";"2021";"I квартал";"2412866";"2406973";"1138976202";
"Лермонтовский проспект";"Таганско-Краснопресненская линия";"2021";"I квартал";"1532808";"1453014";"1138976207";
"Котельники";"Таганско-Краснопресненская линия";"2021";"I квартал";"3406783";"3070893";"1138976212";
"Медведково";"Калужско-Рижская линия";"2021";"I квартал";"3668950";"3552730";"1138976215";
"Бабушкинская";"Калужско-Рижская линия";"2021";"I квартал";"3449852";"3434519";"1138976216";
"Алексеевская";"Калужско-Рижская линия";"2021";"I квартал";"2380730";"2452192";"1138976223";
"Сухаревская";"Калужско-Рижская линия";"2021";"I квартал";"1443276";"1509802";"1138976228";
"Шаболовская";"Калужско-Рижская линия";"2021";"I квартал";"1644776";"1716669";"1138976235";
"Ленинский проспект";"Калужско-Рижская линия";"2021";"I квартал";"2565001";"2915922";"1138976236";
"Академическая";"Калужско-Рижская линия";"2021";"I квартал";"2383964";"2381991";"1138976238";
"Отрадное";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"3576601";"3594759";"1138976239";
"Беляево";"Калужско-Рижская линия";"2021";"I квартал";"2327843";"2507803";"1138976245";
"Коньково";"Калужско-Рижская линия";"2021";"I квартал";"1709348";"1693833";"1138976247";
"Новоясеневская";"Калужско-Рижская линия";"2021";"I квартал";"446690";"435005";"1138976252";
"Цветной бульвар";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1629801";"1691111";"1138976254";
"Пионерская";"Филёвская линия";"2021";"I квартал";"407704";"395236";"1138976255";
"Полянка";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1048960";"1104213";"1138976261";
"Студенческая";"Филёвская линия";"2021";"I квартал";"441258";"451414";"1138976263";
"Серпуховская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1438472";"1500560";"1138976264";
"Нагатинская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"2956954";"3034135";"1138976269";
"Нагорная";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1170464";"1190497";"1138976271";
"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1707731";"1732079";"1138976274";
"Севастопольская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1892269";"1918212";"1138976276";
"Спартак";"Таганско-Краснопресненская линия";"2021";"I квартал";"230561";"223655";"1138976279";
"Пражская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"3607109";"3593045";"1138976283";
"Полежаевская";"Таганско-Краснопресненская линия";"2021";"I квартал";"2535536";"2588174";"1138976284";
"Улица 1905 года";"Таганско-Краснопресненская линия";"2021";"I квартал";"3104781";"3228088";"1138976287";
"Пушкинская";"Таганско-Краснопресненская линия";"2021";"I квартал";"3265390";"3380200";"1138976290";
"Кузнецкий мост";"Таганско-Краснопресненская линия";"2021";"I квартал";"1720674";"1801293";"1138976292";
"Битцевский парк";"Бутовская линия Лёгкого метро";"2021";"I квартал";"235255";"179516";"1138976293";
"Лесопарковая";"Бутовская линия Лёгкого метро";"2021";"I квартал";"277159";"272246";"1138976295";
"Пролетарская";"Таганско-Краснопресненская линия";"2021";"I квартал";"2310944";"2343504";"1138976296";
"Улица Скобелевская";"Бутовская линия Лёгкого метро";"2021";"I квартал";"1320161";"1273487";"1138976298";
"Кузьминки";"Таганско-Краснопресненская линия";"2021";"I квартал";"4294000";"4264760";"1138976301";
"Улица Горчакова";"Бутовская линия Лёгкого метро";"2021";"I квартал";"651331";"641281";"1138976302";
"Выхино";"Таганско-Краснопресненская линия";"2021";"I квартал";"4696944";"4549612";"1138976304";
"Бунинская аллея";"Бутовская линия Лёгкого метро";"2021";"I квартал";"1445879";"1414442";"1138976305";
"Селигерская";"Люблинско-Дмитровская линия";"2021";"I квартал";"2932603";"2890214";"1138976307";
"Жулебино";"Таганско-Краснопресненская линия";"2021";"I квартал";"1798755";"1728121";"1138976308";
"Верхние Лихоборы";"Люблинско-Дмитровская линия";"2021";"I квартал";"909673";"905030";"1138976309";
"Новокосино";"Калининская линия";"2021";"I квартал";"4448270";"4302303";"1138976311";
"Новогиреево";"Калининская линия";"2021";"I квартал";"5093713";"4944039";"1138976313";
"Перово";"Калининская линия";"2021";"I квартал";"3008899";"2982992";"1138976315";
"Фонвизинская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1024865";"1017029";"1138976317";
"Бутырская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1012883";"1044496";"1138976319";
"Площадь Ильича";"Калининская линия";"2021";"I квартал";"1731920";"1748743";"1138976320";
"Марксистская";"Калининская линия";"2021";"I квартал";"1678892";"1750627";"1138976321";
"Достоевская";"Люблинско-Дмитровская линия";"2021";"I квартал";"941495";"982115";"1138976324";
"Алтуфьево";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"3406246";"3340070";"1138976325";
"Трубная";"Люблинско-Дмитровская линия";"2021";"I квартал";"1088610";"1135375";"1138976326";
"Бибирево";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"2153934";"2164789";"1138976327";
"Дмитровская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"2500940";"2553119";"1138976334";
"Менделеевская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"3412916";"3589206";"1138976337";
"Чеховская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1548279";"1628383";"1138976341";
"Боровицкая";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"440584";"464765";"1138976342";
"Тульская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"2614518";"2702786";"1138976347";
"Чертановская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"2387065";"2369248";"1138976356";
"Шипиловская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1068793";"1066456";"1138976357";
"Южная";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1677240";"1660800";"1138976358";
"Зябликово";"Люблинско-Дмитровская линия";"2021";"I квартал";"799199";"798800";"1138976359";
"Аннино";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1782698";"1648513";"1138976364";
"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"4040909";"3906578";"1138976365";
"Лухмановская";"Некрасовская линия";"2021";"I квартал";"1042614";"953454";"1138976375";
"Петровский парк";"Большая кольцевая линия";"2021";"I квартал";"752848";"778402";"1138976383";
"Чкаловская";"Люблинско-Дмитровская линия";"2021";"I квартал";"3153341";"3074001";"1138976394";
"Римская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1383231";"1408218";"1138976396";
"Мнёвники";"Большая кольцевая линия";"2021";"I квартал";"0";"0";"1138976397";
"Кожуховская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1709003";"1790200";"1138976401";
"Минская";"Солнцевская линия";"2021";"I квартал";"379453";"389301";"1138976404";
"Волжская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1258905";"1275819";"1138976405";
"Ломоносовский проспект";"Солнцевская линия";"2021";"I квартал";"884293";"894773";"1138976406";
"Люблино";"Люблинско-Дмитровская линия";"2021";"I квартал";"3332772";"3223184";"1138976407";
"Братиславская";"Люблинско-Дмитровская линия";"2021";"I квартал";"2901264";"2885076";"1138976409";
"Марьино";"Люблинско-Дмитровская линия";"2021";"I квартал";"2468555";"2440953";"1138976411";
"Борисово";"Люблинско-Дмитровская линия";"2021";"I квартал";"887264";"877588";"1138976412";
"Стахановская";"Некрасовская линия";"2021";"I квартал";"388366";"345376";"1138976419";
"Боровское шоссе";"Солнцевская линия";"2021";"I квартал";"383645";"361297";"1138976420";
"Окская";"Некрасовская линия";"2021";"I квартал";"431900";"400462";"1138976421";
"Юго-Восточная";"Некрасовская линия";"2021";"I квартал";"733940";"671788";"1138976423";
"Косино";"Некрасовская линия";"2021";"I квартал";"272629";"249070";"1138976425";
"Некрасовка";"Некрасовская линия";"2021";"I квартал";"3420242";"3117351";"1138976430";
"ЦСКА";"Большая кольцевая линия";"2021";"I квартал";"2337493";"2374510";"1138976435";
"Улица Милашенкова";"Московская монорельсовая транспортная система";"2021";"I квартал";"14596";"13683";"1138976436";
"Народное Ополчение";"Большая кольцевая линия";"2021";"I квартал";"0";"0";"1138976442";
"Белокаменная";"Московское центральное кольцо";"2021";"I квартал";"77363";"80367";"1138976452";
"Раменки";"Солнцевская линия";"2021";"I квартал";"1199252";"1178617";"1138976453";
"Озёрная";"Солнцевская линия";"2021";"I квартал";"1182120";"1160339";"1138976456";
"Локомотив";"Московское центральное кольцо";"2021";"I квартал";"674911";"758584";"1138976457";
"Говорово";"Солнцевская линия";"2021";"I квартал";"848601";"803429";"1138976458";
"Солнцево";"Солнцевская линия";"2021";"I квартал";"1144456";"1095071";"1138976460";
"Новопеределкино";"Солнцевская линия";"2021";"I квартал";"1148891";"1094879";"1138976463";
"Рассказовка";"Солнцевская линия";"2021";"I квартал";"1305507";"1224065";"1138976465";
"Андроновка";"Московское центральное кольцо";"2021";"I квартал";"614931";"628492";"1138976466";
"Новохохловская";"Московское центральное кольцо";"2021";"I квартал";"494519";"520755";"1138976471";
"Телецентр";"Московская монорельсовая транспортная система";"2021";"I квартал";"21074";"20082";"1138976472";
"Угрешская";"Московское центральное кольцо";"2021";"I квартал";"329670";"356471";"1138976473";
"Лихоборы";"Московское центральное кольцо";"2021";"I квартал";"824899";"842746";"1138976478";
"ЗИЛ";"Московское центральное кольцо";"2021";"I квартал";"549471";"578450";"1138976480";
"Верхние Котлы";"Московское центральное кольцо";"2021";"I квартал";"1128115";"1180003";"1138976482";
"Ростокино";"Московское центральное кольцо";"2021";"I квартал";"2138809";"2173513";"1138976485";
"Площадь Гагарина";"Московское центральное кольцо";"2021";"I квартал";"910616";"1125787";"1138976487";
"Лужники";"Московское центральное кольцо";"2021";"I квартал";"680069";"804553";"1138976489";
"Измайлово";"Московское центральное кольцо";"2021";"I квартал";"687328";"750448";"1138976492";
"Зорге";"Московское центральное кольцо";"2021";"I квартал";"343860";"361909";"1138976500";
"Панфиловская";"Московское центральное кольцо";"2021";"I квартал";"491565";"522341";"1138976503";
"Балтийская";"Московское центральное кольцо";"2021";"I квартал";"970050";"1038238";"1138976507";
"Крымская";"Московское центральное кольцо";"2021";"I квартал";"782159";"819785";"1138976511";
"Пятницкое шоссе";"Арбатско-Покровская линия";"2021";"II квартал";"1478753";"1414993";"1138976512";
"Волоколамская";"Арбатско-Покровская линия";"2021";"II квартал";"1384263";"1365358";"1138976517";
"Строгино";"Арбатско-Покровская линия";"2021";"II квартал";"2222417";"2195083";"1138976522";
"Крылатское";"Арбатско-Покровская линия";"2021";"II квартал";"2084335";"2051883";"1138976524";
"Стрешнево";"Московское центральное кольцо";"2021";"I квартал";"1078075";"1126433";"1138976527";
"Коптево";"Московское центральное кольцо";"2021";"I квартал";"1111465";"1164799";"1138976530";
"Славянский бульвар";"Арбатско-Покровская линия";"2021";"II квартал";"4842958";"4781811";"1138976531";
"Митино";"Арбатско-Покровская линия";"2021";"II квартал";"2119285";"1991048";"1138976534";
"Мякинино";"Арбатско-Покровская линия";"2021";"II квартал";"1575712";"1502685";"1138976538";
"Бауманская";"Арбатско-Покровская линия";"2021";"II квартал";"4156201";"4346877";"1138976546";
"Партизанская";"Арбатско-Покровская линия";"2021";"II квартал";"1500048";"1469635";"1138976553";
"Площадь Революции";"Арбатско-Покровская линия";"2021";"II квартал";"2755588";"2748458";"1138976555";
"Измайловская";"Арбатско-Покровская линия";"2021";"II квартал";"1569001";"1580459";"1138976556";
"Речной вокзал";"Замоскворецкая линия";"2021";"II квартал";"2345431";"2288389";"1138976567";
"Первомайская";"Арбатско-Покровская линия";"2021";"II квартал";"2803604";"2802370";"1138976568";
"Ховрино";"Замоскворецкая линия";"2021";"II квартал";"3384252";"3127475";"1138976571";
"Войковская";"Замоскворецкая линия";"2021";"II квартал";"3775973";"3797844";"1138976572";
"Беломорская";"Замоскворецкая линия";"2021";"II квартал";"2380878";"2273501";"1138976573";
"Сокол";"Замоскворецкая линия";"2021";"II квартал";"2834516";"2873432";"1138976574";
"Маяковская";"Замоскворецкая линия";"2021";"II квартал";"2818305";"2900267";"1138976582";
"Аэропорт";"Замоскворецкая линия";"2021";"II квартал";"2825321";"2875823";"1138976583";
"Динамо";"Замоскворецкая линия";"2021";"II квартал";"2184810";"2242810";"1138976585";
"Новокузнецкая";"Замоскворецкая линия";"2021";"II квартал";"2467626";"2594105";"1138976590";
"Технопарк";"Замоскворецкая линия";"2021";"II квартал";"1386409";"1392105";"1138976591";
"Коломенская";"Замоскворецкая линия";"2021";"II квартал";"4084822";"4117496";"1138976593";
"Царицыно";"Замоскворецкая линия";"2021";"II квартал";"4826276";"4705244";"1138976600";
"Кантемировская";"Замоскворецкая линия";"2021";"II квартал";"3397441";"3378726";"1138976601";
"Орехово";"Замоскворецкая линия";"2021";"II квартал";"1640004";"1590411";"1138976602";
"Домодедовская";"Замоскворецкая линия";"2021";"II квартал";"5197497";"4848724";"1138976605";
"Красногвардейская";"Замоскворецкая линия";"2021";"II квартал";"1573265";"1572188";"1138976607";
"Алма-Атинская";"Замоскворецкая линия";"2021";"II квартал";"1138500";"1118782";"1138976610";
"Черкизовская";"Сокольническая линия";"2021";"II квартал";"1242202";"1217780";"1138976614";
"Преображенская площадь";"Сокольническая линия";"2021";"II квартал";"3596380";"3662827";"1138976615";
"Красносельская";"Сокольническая линия";"2021";"II квартал";"1761740";"1814880";"1138976620";
"Красные ворота";"Сокольническая линия";"2021";"II квартал";"1794643";"1849576";"1138976624";
"Чистые пруды";"Сокольническая линия";"2021";"II квартал";"1620842";"1660573";"1138976626";
"Лубянка";"Сокольническая линия";"2021";"II квартал";"1932391";"1959770";"1138976627";
"Охотный ряд";"Сокольническая линия";"2021";"II квартал";"3830765";"3793240";"1138976629";
"Кропоткинская";"Сокольническая линия";"2021";"II квартал";"2005917";"2084528";"1138976632";
"Фрунзенская";"Сокольническая линия";"2021";"II квартал";"2112149";"2221950";"1138976635";
"Университет";"Сокольническая линия";"2021";"II квартал";"2339616";"2364329";"1138976641";
"Юго-Западная";"Сокольническая линия";"2021";"II квартал";"3903705";"3909271";"1138976645";
"Румянцево";"Сокольническая линия";"2021";"II квартал";"853036";"854297";"1138976649";
"Саларьево";"Сокольническая линия";"2021";"II квартал";"3277783";"2921451";"1138976652";
"Филатов луг";"Сокольническая линия";"2021";"II квартал";"543965";"517718";"1138976654";
"Прокшино";"Сокольническая линия";"2021";"II квартал";"249984";"240960";"1138976656";
"Ольховая";"Сокольническая линия";"2021";"II квартал";"612457";"583238";"1138976657";
"Новомосковская";"Сокольническая линия";"2021";"II квартал";"954820";"942377";"1138976660";
"Молодёжная";"Арбатско-Покровская линия";"2021";"I квартал";"3359419";"3298594";"1139049528";
"Киевская";"Арбатско-Покровская линия";"2021";"I квартал";"3331331";"3129823";"1139049531";
"Электрозаводская";"Арбатско-Покровская линия";"2021";"I квартал";"2327645";"2436895";"1139049535";
"Молодёжная";"Арбатско-Покровская линия";"2021";"II квартал";"3754709";"3695073";"1139049536";
"Семёновская";"Арбатско-Покровская линия";"2021";"I квартал";"2266813";"2324677";"1139049537";
"Белорусская";"Замоскворецкая линия";"2021";"I квартал";"1958499";"1905578";"1139049538";
"Павелецкая";"Замоскворецкая линия";"2021";"I квартал";"2393179";"2070862";"1139049539";
"Автозаводская";"Замоскворецкая линия";"2021";"I квартал";"2634591";"2791137";"1139049540";
"Каширская";"Замоскворецкая линия";"2021";"I квартал";"1571003";"1585223";"1139049541";
"Семёновская";"Арбатско-Покровская линия";"2021";"II квартал";"2459559";"2534015";"1139049542";
"Бульвар Рокоссовского";"Сокольническая линия";"2021";"I квартал";"1650435";"1655224";"1139049543";
"Комсомольская";"Сокольническая линия";"2021";"I квартал";"2362784";"1923867";"1139049545";
"Парк культуры";"Сокольническая линия";"2021";"I квартал";"432777";"451062";"1139049546";
"Щёлковская";"Арбатско-Покровская линия";"2021";"I квартал";"5543321";"5302295";"1139049547";
"Щёлковская";"Арбатско-Покровская линия";"2021";"II квартал";"6205483";"5942874";"1139049549";
"Проспект Мира";"Кольцевая линия";"2021";"I квартал";"1848329";"1915719";"1139049552";
"Курская";"Кольцевая линия";"2021";"I квартал";"3456703";"3105337";"1139049553";
"Ботанический сад";"Калужско-Рижская линия";"2021";"I квартал";"1183701";"1358532";"1139049558";
"Китай-город";"Калужско-Рижская линия";"2021";"I квартал";"3917616";"4045824";"1139049560";
"Октябрьская";"Калужско-Рижская линия";"2021";"I квартал";"861044";"908603";"1139049561";
"Кутузовская";"Филёвская линия";"2021";"I квартал";"467068";"515967";"1139049564";
"Смоленская";"Филёвская линия";"2021";"I квартал";"1596567";"1638176";"1139049565";
"Арбатская";"Филёвская линия";"2021";"I квартал";"399914";"389484";"1139049566";
"Хорошёвская";"Большая кольцевая линия";"2021";"I квартал";"687219";"687558";"1139049567";
"Таганская";"Таганско-Краснопресненская линия";"2021";"I квартал";"962588";"993427";"1139049568";
"Текстильщики";"Таганско-Краснопресненская линия";"2021";"I квартал";"4013551";"3984078";"1139049569";
"Шоссе Энтузиастов";"Калининская линия";"2021";"I квартал";"1552498";"1674641";"1139049570";
"Владыкино";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1132860";"1352091";"1139049573";
"Тимирязевская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1605226";"1578393";"1139049574";
"Улица академика Янгеля";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"1948572";"1891874";"1139049575";
"Бульвар адмирала Ушакова";"Бутовская линия Лёгкого метро";"2021";"I квартал";"715105";"706348";"1139049576";
"Окружная";"Люблинско-Дмитровская линия";"2021";"I квартал";"454262";"454400";"1139049577";
"Петровско-Разумовская";"Люблинско-Дмитровская линия";"2021";"I квартал";"1740583";"1725688";"1139049578";
"Марьина роща";"Люблинско-Дмитровская линия";"2021";"I квартал";"2146925";"2205722";"1139049579";
"Крестьянская застава";"Люблинско-Дмитровская линия";"2021";"I квартал";"508984";"538540";"1139049580";
"Дубровка";"Люблинско-Дмитровская линия";"2021";"I квартал";"1348774";"1423578";"1139049581";
"Печатники";"Люблинско-Дмитровская линия";"2021";"I квартал";"1599447";"1608840";"1139049582";
"Нижегородская";"Некрасовская линия";"2021";"I квартал";"610629";"819794";"1139049583";
"улица Дмитриевского";"Некрасовская линия";"2021";"I квартал";"650439";"617551";"1139049584";
"Деловой центр";"Солнцевская линия";"2021";"I квартал";"511498";"504452";"1139049587";
"Парк Победы";"Солнцевская линия";"2021";"I квартал";"318720";"332196";"1139049588";
"Мичуринский проспект";"Солнцевская линия";"2021";"I квартал";"565615";"563879";"1139049589";
"Царицыно";"Замоскворецкая линия";"2021";"I квартал";"4117891";"3994639";"1139049590";
"Новые Черёмушки";"Калужско-Рижская линия";"2021";"I квартал";"2925766";"3055857";"1139049591";
"Тёплый стан";"Калужско-Рижская линия";"2021";"I квартал";"3753717";"3667832";"1139049592";
"Сретенский бульвар";"Люблинско-Дмитровская линия";"2021";"I квартал";"744466";"786496";"1139049594";
"Киевская";"Арбатско-Покровская линия";"2021";"II квартал";"3932383";"3676697";"1139049597";
"Электрозаводская";"Арбатско-Покровская линия";"2021";"II квартал";"2632175";"2785369";"1139049601";
"Водный стадион";"Замоскворецкая линия";"2021";"II квартал";"3113959";"3112742";"1139049602";
"Белорусская";"Замоскворецкая линия";"2021";"II квартал";"2362539";"2271261";"1139049603";
"Павелецкая";"Замоскворецкая линия";"2021";"II квартал";"2855906";"2418131";"1139049604";
"Автозаводская";"Замоскворецкая линия";"2021";"II квартал";"2980641";"3149007";"1139049605";
"Каширская";"Замоскворецкая линия";"2021";"II квартал";"1641960";"1666429";"1139049606";
"Бульвар Рокоссовского";"Сокольническая линия";"2021";"II квартал";"1784777";"1789582";"1139049607";
"Комсомольская";"Сокольническая линия";"2021";"II квартал";"2812214";"2312700";"1139049609";
"Парк культуры";"Сокольническая линия";"2021";"II квартал";"522103";"542644";"1139049610";
"Савёловская";"Серпуховско-Тимирязевская линия";"2021";"I квартал";"2821078";"2847512";"1139049612";
"Воробьёвы горы";"Сокольническая линия";"2021";"I квартал";"520869";"505579";"1139049613";
"Воробьёвы горы";"Сокольническая линия";"2021";"II квартал";"819182";"786108";"1139049614";
"Спортивная";"Сокольническая линия";"2021";"II квартал";"1472766";"1635561";"1139049615";
"Тропарёво";"Сокольническая линия";"2021";"I квартал";"1276615";"1248852";"1139049616";
"Тропарёво";"Сокольническая линия";"2021";"II квартал";"1387883";"1347877";"1139049617";
"Александровский сад";"Филёвская линия";"2021";"I квартал";"996568";"1009140";"1139049618";
"Филёвский парк";"Филёвская линия";"2021";"I квартал";"635296";"625701";"1139049621";
"Выставочный центр";"Московская монорельсовая транспортная система";"2021";"I квартал";"50714";"44606";"1139049622";
"Улица Академика Королёва";"Московская монорельсовая транспортная система";"2021";"I квартал";"13838";"12824";"1139049624";
"Улица Сергея Эйзенштейна";"Московская монорельсовая транспортная система";"2021";"I квартал";"16313";"13915";"1139049625";
"Соколиная Гора";"Московское центральное кольцо";"2021";"I квартал";"468808";"494108";"1139049635";
"Хорошёво";"Московское центральное кольцо";"2021";"I квартал";"659189";"699665";"1139049636";
